name,eng_position,DIVISION,attack_percentage,block_total,serve_percentage,receive_percentage,dig_percentage,set_percentage,total_point_score,national_team
張稦豈,Opposite Hitter,Womens Division,0.3582,57.0,0.0421,0.2982,0.2149,0.0,678.0,0
張洵瑞,Setter,Womens Division,0.25,9.0,0.0258,0.0,0.1458,0.1899,23.0,0
胡宸穎,Middle Blocker,Womens Division,0.3205,17.0,0.0905,0.2791,0.1226,0.0,145.0,0
李思依,Libero,Womens Division,0.2781,1.0,0.0545,0.4382,0.2415,0.0,56.0,0
李子嫣,Middle Blocker,Womens Division,0.3391,10.0,0.0451,0.1892,0.1189,,120.0,0
吳佩茹,Outside Hitter,Womens Division,0.3099,9.0,0.0264,0.3786,0.1584,,257.0,0
陳莉鈞,Outside Hitter,Womens Division,0.3225,3.0,0.0191,0.3521,0.3314,0.0,115.0,1
陳恩得,Opposite Hitter,Mens Division,0.5049,79.0,0.0277,0.1923,0.2448,,708.0,0
高得益,Setter,Mens Division,0.25,2.0,0.0274,,0.0,0.2513,5.0,0
林韋翔,Middle Blocker,Mens Division,0.32,8.0,0.0,0.0,0.0,,16.0,0
洪宇叡,Outside Hitter,Mens Division,0.4667,14.0,0.0517,0.5242,0.1867,0.3333,118.0,0
洪晨祐,Libero,Mens Division,0.0,0.0,,0.4308,0.3058,,0.0,0
林暘程,Middle Blocker,Mens Division,0.4964,77.0,0.0186,0.2692,0.1321,,220.0,0
楊承恩,Middle Blocker,Mens Division,0.4713,20.0,0.0048,0.4,0.1176,,95.0,0
陳柏勳,Libero,Mens Division,1.0,0.0,0.0,0.5831,0.3649,,1.0,0
劉昱麟,Outside Hitter,Mens Division,0.4836,73.0,0.0651,0.5215,0.2601,,847.0,0
劉少宇,Setter,Mens Division,0.6,7.0,0.0317,0.0,0.1475,0.302,17.0,0
林嘉偉,Setter,Mens Division,0.4595,30.0,0.0191,0.1111,0.1867,0.3179,60.0,0
林裕鈞,Middle Blocker,Mens Division,0.4817,137.0,0.0294,0.3913,0.122,,327.0,0
郭柏毅,Setter,Mens Division,0.4286,13.0,0.0441,0.5,0.1933,0.3102,40.0,0
李元,Outside Hitter,Mens Division,0.461,41.0,0.036,0.522,0.2421,0.0,612.0,0
王育文,Middle Blocker,Womens Division,0.3462,2.0,0.0169,0.3333,0.2759,,30.0,0
邱詩晴,Libero,Womens Division,,0.0,0.0,0.4735,0.471,,0.0,1
劉玉淳,Setter,Womens Division,0.4161,19.0,0.0578,0.1111,0.2536,0.1947,105.0,0
